Age,Color.R,Color.G,Color.B,Color.A,Initial.Color.R,Initial.Color.G,Initial.Color.B,Initial.Color.A,Lifetime,Mass,MaterialRandom,NormalizedAge,Position.X,Position.Y,Position.Z,PreviousVelocity.X,PreviousVelocity.Y,PreviousVelocity.Z,Scale.X,Scale.Y,Scale.Z,SpriteRotation,SpriteSize.X,SpriteSize.Y,UniqueID,Velocity.X,Velocity.Y,Velocity.Z
0.5,1,1,1,1,1,1,1,1,1.626519442,1,0.154612064,0.307404876,-110.1519623,-138.3641357,96.49694824,-17.24112701,-77.83782959,-0.444711596,5,5,5,0,5,5,54,-17.24112701,-77.83782959,-0.444711596
0.5,1,1,1,1,1,1,1,1,2.901959181,1,0.796411276,0.172297388,-106.9072876,-136.206192,98.58769226,-25.1543808,-69.85419464,6.900782585,5,5,5,0,5,5,55,-25.1543808,-69.85419464,6.900782585
0.5,1,1,1,1,1,1,1,1,1.68513298,1,0.075879216,0.296712488,-104.2533646,-134.3102417,101.1350937,-35.36009598,-61.74497223,15.7803297,5,5,5,0,5,5,56,-35.36009598,-61.74497223,15.7803297
0.5,1,1,1,1,1,1,1,1,2.497725487,1,0.288171768,0.200182125,-101.8588409,-131.9302826,103.8289948,-46.27363205,-52.19034195,25.77147865,5,5,5,0,5,5,57,-46.27363205,-52.19034195,25.77147865
0.5,1,1,1,1,1,1,1,1,2.791285515,1,0.623602867,0.17912893,-98.84370422,-126.677124,105.9409027,-53.0737915,-36.5977478,34.00173569,5,5,5,0,5,5,58,-53.0737915,-36.5977478,34.00173569
0.5,1,1,1,1,1,1,1,1,1.955937862,1,0.898547769,0.255631834,-95.03824616,-120.5955658,108.0475464,-57.15338516,-16.04351425,41.12745667,5,5,5,0,5,5,59,-57.15338516,-16.04351425,41.12745667
0.5,1,1,1,1,1,1,1,1,2.557312727,1,0.782377243,0.195517734,-90.67742157,-114.401062,110.028389,-59.09764099,8.10401535,47.92991257,5,5,5,0,5,5,60,-59.09764099,8.10401535,47.92991257
0.5,1,1,1,1,1,1,1,1,1.63382864,1,0.071350813,0.306029648,-84.84401703,-110.4475327,108.0309219,-56.46647644,28.03444672,44.64751816,5,5,5,0,5,5,61,-56.46647644,28.03444672,44.64751816
0.5,1,1,1,1,1,1,1,1,2.032208443,1,0.18320024,0.246037751,-77.68551636,-108.5874481,103.2126923,-49.06141281,43.08770371,28.63617706,5,5,5,0,5,5,62,-49.06141281,43.08770371,28.63617706
0.5,1,1,1,1,1,1,1,1,1.869473934,1,0.778004646,0.267454922,-69.53832245,-106.8061523,97.7122879,-36.02325821,54.81383514,5.258306026,5,5,5,0,5,5,63,-36.02325821,54.81383514,5.258306026
0.5,1,1,1,1,1,1,1,1,2.792577744,1,0.553573847,0.17904605,-62.95715714,-108.9797058,94.01525879,-27.84474182,51.60744858,-10.94390678,5,5,5,0,5,5,64,-27.84474182,51.60744858,-10.94390678
0.5,1,1,1,1,1,1,1,1,2.692248344,1,0.220175743,0.185718372,-56.07728958,-116.3973465,90.6672821,-18.32765198,23.32823372,-24.39904213,5,5,5,0,5,5,65,-18.32765198,23.32823372,-24.39904213
0.5,1,1,1,1,1,1,1,1,2.967282534,1,0.81610775,0.168504342,-48.83279038,-123.7551651,86.74019623,-3.823592663,-6.158665657,-40.83328247,5,5,5,0,5,5,66,-3.823592663,-6.158665657,-40.83328247
0.5,1,1,1,1,1,1,1,1,1.46163249,1,0.4442904,0.342083246,-41.99057007,-128.0473328,82.89482117,8.80739975,-26.09690285,-60.24689865,5,5,5,0,5,5,67,8.80739975,-26.09690285,-60.24689865
0.5,1,1,1,1,1,1,1,1,2.989639997,1,0.326397896,0.167244211,-36.89704132,-126.5280914,81.18225098,8.285931587,-20.79091454,-65.87480164,5,5,5,0,5,5,68,8.285931587,-20.79091454,-65.87480164
0.5,1,1,1,1,1,1,1,1,1.477756262,1,0.189156413,0.338350803,-32.0013237,-124.671608,79.39037323,4.741773129,-16.78696823,-71.52502441,5,5,5,0,5,5,69,4.741773129,-16.78696823,-71.52502441
0.5,1,1,1,1,1,1,1,1,1.381914616,1,0.239125371,0.361816853,-27.08870888,-123.8174362,77.545784,2.858756542,-15.99462986,-78.00413513,5,5,5,0,5,5,70,2.858756542,-15.99462986,-78.00413513
0.5,1,1,1,1,1,1,1,1,2.597828388,1,0.291415691,0.192468449,-19.22945786,-120.4581375,78.6157074,13.42664719,-3.407911301,-72.44231415,5,5,5,0,5,5,71,13.42664719,-3.407911301,-72.44231415
0.5,1,1,1,1,1,1,1,1,2.166758776,1,0.663568258,0.230759427,-9.792963982,-116.6559296,80.30443573,33.05651474,14.93418884,-62.62128449,5,5,5,0,5,5,72,33.05651474,14.93418884,-62.62128449
0.5,1,1,1,1,1,1,1,1,1.309673548,1,0.254530549,0.381774515,-0.42979753,-113.0880203,82.1368866,50.11216354,30.80810928,-51.94166184,5,5,5,0,5,5,73,50.11216354,30.80810928,-51.94166184
0.5,1,1,1,1,1,1,1,1,2.065470934,1,0.540173531,0.242075548,6.804487228,-112.6669083,84.00315094,55.85163117,34.16933441,-42.36648178,5,5,5,0,5,5,74,55.85163117,34.16933441,-42.36648178
0.5,1,1,1,1,1,1,1,1,1.637211323,1,0.165337563,0.305397362,13.77262306,-113.1219254,85.92949677,60.49740601,34.57762528,-33.5603981,5,5,5,0,5,5,75,60.49740601,34.57762528,-33.5603981
0.5,1,1,1,1,1,1,1,1,2.232078314,1,0.957511544,0.224006474,20.83821297,-113.5882416,88.53221893,63.80161667,33.99279404,-21.87845421,5,5,5,0,5,5,76,63.80161667,33.99279404,-21.87845421
0.5,1,1,1,1,1,1,1,1,1.349141359,1,0.771649003,0.370606095,26.47110748,-112.7551117,93.88726807,62.23471069,37.63465118,-0.503842354,5,5,5,0,5,5,77,62.23471069,37.63465118,-0.503842354
0.5,1,1,1,1,1,1,1,1,2.239622116,1,0.611215472,0.223251954,31.09353066,-111.4019165,100.2888031,56.67407227,39.21247101,21.01935577,5,5,5,0,5,5,78,56.67407227,39.21247101,21.01935577
0.5,1,1,1,1,1,1,1,1,1.042165518,1,0.012457967,0.479770243,34.74967957,-110.7184448,106.1779556,44.1590538,34.35991287,34.87693024,5,5,5,0,5,5,79,44.1590538,34.35991287,34.87693024
0.5,1,1,1,1,1,1,1,1,2.9676373,1,0.391116858,0.168484196,37.64973068,-113.8142014,108.6905975,32.56726837,18.45523834,38.19154358,5,5,5,0,5,5,80,32.56726837,18.45523834,38.19154358
0.5,1,1,1,1,1,1,1,1,2.822875023,1,0.880602837,0.177124381,41.03231812,-120.8122177,108.7020874,29.73668671,-7.173898697,41.42208099,5,5,5,0,5,5,81,29.73668671,-7.173898697,41.42208099
0.5,1,1,1,1,1,1,1,1,2.984734535,1,0.080202937,0.167519093,44.16735458,-126.6664047,109.3044281,29.47508621,-29.18520927,48.90755463,5,5,5,0,5,5,82,29.47508621,-29.18520927,48.90755463
0.5,1,1,1,1,1,1,1,1,1.931164265,1,0.499801636,0.258911163,48.29672241,-132.5022583,110.3889694,31.65439987,-44.84337997,53.29932785,5,5,5,0,5,5,83,31.65439987,-44.84337997,53.29932785
0.5,1,1,1,1,1,1,1,1,1.183297873,1,0.483451366,0.422547877,53.81806564,-133.96875,107.9381866,38.22404099,-51.9475441,42.3721695,5,5,5,0,5,5,84,38.22404099,-51.9475441,42.3721695
0.5,1,1,1,1,1,1,1,1,1.174654245,1,0.675718427,0.425657183,59.49518967,-135.0761566,104.9035873,43.87696075,-57.86135101,29.51232147,5,5,5,0,5,5,85,43.87696075,-57.86135101,29.51232147
0.5,1,1,1,1,1,1,1,1,1.57055974,1,0.195170879,0.318357825,64.89000702,-136.1345062,102.0296783,45.9709549,-60.17689133,19.33006096,5,5,5,0,5,5,86,45.9709549,-60.17689133,19.33006096
0.5,1,1,1,1,1,1,1,1,1.856236935,1,0.747499466,0.269362152,70.76359558,-134.2335968,100.9919281,49.11050797,-52.95929718,16.34228706,5,5,5,0,5,5,87,49.11050797,-52.95929718,16.34228706
0.5,1,1,1,1,1,1,1,1,1.196849823,1,0.798561215,0.417763352,76.62310791,-130.7306671,100.6610031,53.51105499,-41.29898453,15.46660709,5,5,5,0,5,5,88,53.51105499,-41.29898453,15.46660709
0.5,1,1,1,1,1,1,1,1,1.675795794,1,0.604543805,0.298365712,83.06649017,-127.5498352,99.17371368,53.45250702,-28.13726807,12.90580559,5,5,5,0,5,5,89,53.45250702,-28.13726807,12.90580559
0.5,1,1,1,1,1,1,1,1,1.097468138,1,0.863604307,0.455594093,87.38000488,-123.4541168,98.819664,46.39337158,-12.03665638,14.58336067,5,5,5,0,5,5,90,46.39337158,-12.03665638,14.58336067
0.5,1,1,1,1,1,1,1,1,1.586293221,1,0.06420064,0.315200239,90.22208405,-118.3607407,101.2303696,35.58302307,9.429388046,25.22362518,5,5,5,0,5,5,91,35.58302307,9.429388046,25.22362518
0.5,1,1,1,1,1,1,1,1,1.296534061,1,0.145483851,0.385643542,92.89562225,-113.7098846,105.7831116,22.52904129,31.99510765,44.09350205,5,5,5,0,5,5,92,22.52904129,31.99510765,44.09350205
0.5,1,1,1,1,1,1,1,1,1.525862217,1,0.61195302,0.327683598,95.1439743,-110.015892,109.556839,11.14558506,42.20900345,56.42965317,5,5,5,0,5,5,93,11.14558506,42.20900345,56.42965317
0.5,1,1,1,1,1,1,1,1,1.354482889,1,0.80020535,0.369144559,96.73014832,-111.6700211,109.1540222,1.110496402,35.45001984,55.37513351,5,5,5,0,5,5,94,1.110496402,35.45001984,55.37513351
0.5,1,1,1,1,1,1,1,1,2.177558422,1,0.326040387,0.229614958,98.34896088,-113.1168365,108.3326263,-10.90338993,27.91149712,52.8656311,5,5,5,0,5,5,95,-10.90338993,27.91149712,52.8656311
0.5,1,1,1,1,1,1,1,1,2.342239141,1,0.347596169,0.213470951,99.37242889,-115.1348343,107.5278397,-24.33644486,21.45284081,49.44088745,5,5,5,0,5,5,96,-24.33644486,21.45284081,49.44088745
0.5,1,1,1,1,1,1,1,1,2.974854231,1,0.294992328,0.168075457,101.9872513,-117.1001663,105.9161453,-34.73544693,12.83623505,43.29636765,5,5,5,0,5,5,97,-34.73544693,12.83623505,43.29636765
0.5,1,1,1,1,1,1,1,1,2.300358295,1,0.486181855,0.217357442,107.6352539,-121.0560226,101.619606,-33.69132614,0.034449726,24.58681107,5,5,5,0,5,5,98,-33.69132614,0.034449726,24.58681107
0.5,1,1,1,1,1,1,1,1,1.112367392,1,0.389786363,0.449491769,114.6643753,-124.2278366,97.49195862,-23.75634766,-10.56927395,4.947786331,5,5,5,0,5,5,99,-23.75634766,-10.56927395,4.947786331
0.5,1,1,1,1,1,1,1,1,2.161619425,1,0.40942359,0.231308058,-132.8832397,-117.3260422,90.03025055,-21.41497421,-10.64011288,-28.55027008,5,5,5,0,5,5,100,-21.41497421,-10.64011288,-28.55027008
0.5,1,1,1,1,1,1,1,1,1.498136759,1,0.084093213,0.333747894,-126.8753204,-122.9191742,90.37191773,-22.64910126,-36.31648254,-28.63982773,5,5,5,0,5,5,101,-22.64910126,-36.31648254,-28.63982773
0.5,1,1,1,1,1,1,1,1,1.073955059,1,0.393186212,0.465568841,-119.8678055,-127.8434067,91.86637878,-17.27836037,-55.60931015,-22.10899925,5,5,5,0,5,5,102,-17.27836037,-55.60931015,-22.10899925
0.5,1,1,1,1,1,1,1,1,1.787567139,1,0.68079114,0.279709786,-113.5538406,-132.6528778,93.69711304,-11.2296505,-73.08887482,-12.48368454,5,5,5,0,5,5,103,-11.2296505,-73.08887482,-12.48368454
0.5,1,1,1,1,1,1,1,1,2.897384882,1,0.659034967,0.172569409,-108.584343,-133.3483887,95.58185577,-11.65113735,-77.99918366,-3.414824486,5,5,5,0,5,5,104,-11.65113735,-77.99918366,-3.414824486
0.5,1,1,1,1,1,1,1,1,2.55535078,1,0.216278315,0.195667848,-105.6642151,-131.5358734,97.26222229,-18.73195076,-70.58482361,2.395581007,5,5,5,0,5,5,105,-18.73195076,-70.58482361,2.395581007
0.5,1,1,1,1,1,1,1,1,2.940164566,1,0.675026298,0.170058504,-102.9500198,-129.3021698,99.63122559,-28.50830269,-63.07221603,10.42899036,5,5,5,0,5,5,106,-28.50830269,-63.07221603,10.42899036
0.5,1,1,1,1,1,1,1,1,2.133780479,1,0.846372843,0.234325886,-100.5644302,-126.7807083,102.9126434,-41.68600845,-53.36252213,22.24653053,5,5,5,0,5,5,107,-41.68600845,-53.36252213,22.24653053
0.5,1,1,1,1,1,1,1,1,1.96201396,1,0.194149017,0.254840195,-97.61432648,-121.1818237,106.783699,-50.07731247,-36.50471497,36.29208756,5,5,5,0,5,5,108,-50.07731247,-36.50471497,36.29208756
0.5,1,1,1,1,1,1,1,1,1.96455884,1,0.015984178,0.254510075,-93.91410065,-115.3371658,109.9266281,-52.73758316,-16.7108078,47.07441711,5,5,5,0,5,5,109,-52.73758316,-16.7108078,47.07441711
0.5,1,1,1,1,1,1,1,1,2.07762742,1,0.280275464,0.240659133,-89.78195953,-109.4808426,113.0238419,-52.82336807,5.806158066,58.44644928,5,5,5,0,5,5,110,-52.82336807,5.806158066,58.44644928
0.5,1,1,1,1,1,1,1,1,1.646777153,1,0.115251303,0.303623348,-83.2563858,-104.7278976,110.52034,-50.66685867,29.82155609,54.77416611,5,5,5,0,5,5,111,-50.66685867,29.82155609,54.77416611
0.5,1,1,1,1,1,1,1,1,2.756135702,1,0.710075378,0.181413412,-76.23230743,-101.9085922,104.7948914,-45.06100082,47.21603775,33.75630188,5,5,5,0,5,5,112,-45.06100082,47.21603775,33.75630188
0.5,1,1,1,1,1,1,1,1,2.422874212,1,0.749125838,0.206366464,-69.16853333,-99.00088501,99.32740784,-36.29681778,62.40581131,10.32185841,5,5,5,0,5,5,113,-36.29681778,62.40581131,10.32185841
0.5,1,1,1,1,1,1,1,1,1.614501238,1,0.188905716,0.309693158,-62.37773514,-101.7856216,94.81169128,-28.94721413,61.29715729,-8.637164116,5,5,5,0,5,5,114,-28.94721413,61.29715729,-8.637164116
0.5,1,1,1,1,1,1,1,1,1.612205982,1,0.753664017,0.310134083,-56.04413223,-108.797226,91.21974945,-23.65032387,34.46783066,-22.46725655,5,5,5,0,5,5,115,-23.65032387,34.46783066,-22.46725655
0.5,1,1,1,1,1,1,1,1,2.806837082,1,0.537618279,0.178136453,-49.47496414,-116.4024124,87.23423767,-15.08024311,5.450572968,-37.63040543,5,5,5,0,5,5,116,-15.08024311,5.450572968,-37.63040543
